ID Geography,Geography,ID Agency,Agency,Obligation Amount (2017)
"04000US34","New Jersey","12C3","Natural Resources Conservation Service",-376542.88
"04000US11","District of Columbia","1100","Executive Office of the President",63125124.3
"04000US36","New York","1100","Executive Office of the President",-25400.44
"04000US51","Virginia","1100","Executive Office of the President",114026.54000000001
"04000US04","Arizona","1127","Office of the National Drug Control Policy",9700578.94
"04000US06","California","1127","Office of the National Drug Control Policy",14721358.22
"04000US08","Colorado","1127","Office of the National Drug Control Policy",14157493.09
"04000US10","Delaware","1127","Office of the National Drug Control Policy",242000
"04000US12","Florida","1127","Office of the National Drug Control Policy",7390197.82
"04000US15","Hawaii","1127","Office of the National Drug Control Policy",976304.17
"04000US17","Illinois","1127","Office of the National Drug Control Policy",5613008
"04000US18","Indiana","1127","Office of the National Drug Control Policy",522953
"04000US24","Maryland","1127","Office of the National Drug Control Policy",100000
"04000US27","Minnesota","1127","Office of the National Drug Control Policy",795875
"04000US29","Missouri","1127","Office of the National Drug Control Policy",1005405
"04000US30","Montana","1127","Office of the National Drug Control Policy",591411.83
"04000US31","Nebraska","1127","Office of the National Drug Control Policy",433063
"04000US34","New Jersey","1127","Office of the National Drug Control Policy",745468
"04000US35","New Mexico","1127","Office of the National Drug Control Policy",5771048.99
"04000US39","Ohio","1127","Office of the National Drug Control Policy",3781119
"04000US42","Pennsylvania","1127","Office of the National Drug Control Policy",353450
"04000US47","Tennessee","1127","Office of the National Drug Control Policy",204410
"04000US48","Texas","1127","Office of the National Drug Control Policy",18428577.81
"04000US49","Utah","1127","Office of the National Drug Control Policy",798961.34
"04000US53","Washington","1127","Office of the National Drug Control Policy",1517263
"04000US55","Wisconsin","1127","Office of the National Drug Control Policy",5098858.55
"04000US01","Alabama","1145","Peace Corps",38192.97
"04000US04","Arizona","1145","Peace Corps",55215
"04000US06","California","1145","Peace Corps",276682.14
"04000US08","Colorado","1145","Peace Corps",55697.7
"04000US11","District of Columbia","1145","Peace Corps",30198322.87
"04000US12","Florida","1145","Peace Corps",94231.95999999999
"04000US13","Georgia","1145","Peace Corps",15856
"04000US15","Hawaii","1145","Peace Corps",22886.15
"04000US17","Illinois","1145","Peace Corps",42938.5
"04000US18","Indiana","1145","Peace Corps",12816761.46
"04000US19","Iowa","1145","Peace Corps",24983
"04000US20","Kansas","1145","Peace Corps",47336
"04000US22","Louisiana","1145","Peace Corps",-9343.6
"04000US24","Maryland","1145","Peace Corps",78012.74
"04000US26","Michigan","1145","Peace Corps",107557.03
"04000US27","Minnesota","1145","Peace Corps",44911.34
"04000US29","Missouri","1145","Peace Corps",18485.99
"04000US30","Montana","1145","Peace Corps",14475.68
"04000US34","New Jersey","1145","Peace Corps",22809
"04000US36","New York","1145","Peace Corps",62988.93
"04000US37","North Carolina","1145","Peace Corps",34382.15
"04000US39","Ohio","1145","Peace Corps",27439
"04000US41","Oregon","1145","Peace Corps",36714.380000000005
"04000US42","Pennsylvania","1145","Peace Corps",66361.13
"04000US47","Tennessee","1145","Peace Corps",15856
"04000US48","Texas","1145","Peace Corps",46784.03
"04000US50","Vermont","1145","Peace Corps",25466
"04000US51","Virginia","1145","Peace Corps",7036390.6
"04000US53","Washington","1145","Peace Corps",44810.5
"04000US55","Wisconsin","1145","Peace Corps",28545.9
"04000US06","California","1153","United States Trade and Development Agency",191640
"04000US08","Colorado","1153","United States Trade and Development Agency",23465
"04000US09","Connecticut","1153","United States Trade and Development Agency",59283.64
"04000US11","District of Columbia","1153","United States Trade and Development Agency",6695822.31
"04000US12","Florida","1153","United States Trade and Development Agency",1897984.46
"04000US16","Idaho","1153","United States Trade and Development Agency",0
"04000US17","Illinois","1153","United States Trade and Development Agency",410000
"04000US18","Indiana","1153","United States Trade and Development Agency",27288.36
"04000US22","Louisiana","1153","United States Trade and Development Agency",10873
"04000US23","Maine","1153","United States Trade and Development Agency",0
"04000US24","Maryland","1153","United States Trade and Development Agency",-17516.010000000006
"04000US25","Massachusetts","1153","United States Trade and Development Agency",1147441.78
"04000US34","New Jersey","1153","United States Trade and Development Agency",149636.25
"04000US36","New York","1153","United States Trade and Development Agency",404466.37000000005
"04000US37","North Carolina","1153","United States Trade and Development Agency",237500
"04000US39","Ohio","1153","United States Trade and Development Agency",300026.33
"04000US42","Pennsylvania","1153","United States Trade and Development Agency",505.92
"04000US45","South Carolina","1153","United States Trade and Development Agency",93476.97
"04000US48","Texas","1153","United States Trade and Development Agency",1144163.51
"04000US51","Virginia","1153","United States Trade and Development Agency",11976553.21
"04000US06","California","4704","Office of Inspector General",13751.97
"04000US08","Colorado","1204","Office of Inspector General",59150
"04000US11","District of Columbia","4704","Office of Inspector General",3897823.94
"04000US13","Georgia","1604","Office of Inspector General",121744.72
"04000US17","Illinois","1604","Office of Inspector General",304984.99
